time[s],Omega_b(X)[rad/s],Omega_b(Y)[rad/s],Omega_b(Z)[rad/s],Quaternion_i2b(0)[-],Quaternion_i2b(1)[-],Quaternion_i2b(2)[-],Quaternion_i2b(3)[-],
0,0.049,0.00536,0.0378,0,0,0,1,
200.1,0.0496,0.00564,0.0369,-0.0663643,-0.0346949,-0.0481199,0.99603,
0,0.0433,0.00948,0.0328,0,0,0,1,
200.1,0.0439,0.00996,0.0317,-0.545144,-0.150936,-0.418826,0.710367,
0,0.0313,0.000246,0.0141,0,0,0,1,
200.1,0.0316,0.000915,0.0131,-0.241316,0.0382204,-0.109395,-0.963503,
0,0.0276,0.00581,0.00568,0,0,0,1,
200.1,0.0276,0.00708,0.00436,0.250495,0.115683,0.0765643,-0.958127,
0,0.042,0.00565,0.0371,0,0,0,1,
200.1,0.0428,0.00595,0.0361,-0.452677,-0.0923691,-0.402599,0.790231,
